# UH-60M reference photos - filename | source page URL | author | license | variant | note (angle / what it shows)
exterior_front34_left_01_hh60m.jpg | https://commons.wikimedia.org/wiki/File:Sikorsky_HH-60M_13-20612_FDK_MD7.jpg | Acroterion | CC BY-SA 4.0 | HH-60M (medevac UH-60M: nose FLIR turret, red crosses) | Front-left 3/4, low camera, on apron, rotor turning slowly; nose, windshield, chin windows, left engine inlet, cabin windows
exterior_front34_left_02_parked_low_camera.jpg | https://commons.wikimedia.org/wiki/File:1CAB_1ID_Atlantic_Resolve_Rotation_(5079963).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5079963/1cab-1id-atlantic-resolve-rotation) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60 (1st CAB 1ID 2017; M-era unit, swept tips visible) | Front-left 3/4, low camera, parked on wet apron, rotor stopped (blades droop, swept tips), doors closed; whole airframe incl. tail pylon
exterior_front34_right_01_slovak_7449.jpg | https://commons.wikimedia.org/wiki/File:Slovensk%C3%BD_UH-60M_7449.jpg | Karel Šubrt | CC BY-SA 4.0 | UH-60M (Slovak Air Force 7449; foreign markings) | Front-right 3/4 (shallow, near profile), camera at standing height, parked, rotor stopped, doors closed; engine inlet covers (red), tail wheel, whole airframe
exterior_front34_right_02_slovak_7641.jpg | https://commons.wikimedia.org/wiki/File:UH-60M_Slovak_Air_Force_7641.jpg | Mossback | CC BY-SA 4.0 | UH-60M (Slovak Air Force 7641; foreign markings) | Front-right 3/4, standing-height camera, parked, rotor stopped, doors closed; nose, windshield, chin windows, main gear, engine cowls, blades drooped
exterior_front34_right_03_hkp16_hangar.jpg | https://commons.wikimedia.org/wiki/File:Sikorsky_S-70_Blackhawk_(Hkp-16A)_161227_02_(8358593585).jpg | Alan Wilson | CC BY-SA 2.0 | UH-60M (Swedish Hkp 16A) | Front-right 3/4, low/standing camera, parked in front of hangar, rotor stopped; clear nose, cockpit door, cabin, engine inlet covers, tail pylon + tail rotor
exterior_front34_right_04_hkp16_airshow.jpg | https://commons.wikimedia.org/wiki/File:Hkp_16.jpg | Herranderssvensson | CC BY-SA 3.0 | UH-60M (Swedish Hkp 16) | Front-right 3/4 closer to head-on, standing camera, static display with people for scale, rotor stopped, cockpit door open
exterior_front34_right_05_us_army_grayling.jpg | https://commons.wikimedia.org/wiki/File:U.S._Soldiers_talk_after_a_UH-60M_Black_Hawk_helicopter,_assigned_to_the_3rd_Battalion,_238th_Aviation_Regiment,_lands_at_Grayling_Airfield_in_Grayling,_Mich.,_Aug._3,_2013,_during_Northern_Strike_130803-Z-GS745-079.jpg | Master Sgt. Scott Thompson | Public domain | UH-60M (US Army, 3-238th Avn, Michigan ARNG) | US Army UH-60M from the right, slightly front (near profile), standing camera, parked on grass, rotor stopped, cockpit door open; distant
exterior_front_01_nose_on_low_camera.jpg | https://commons.wikimedia.org/wiki/File:1-214th_General_Support_Aviation_Battalion_Aerial_Gunnery_Qualification_And_Medical_Evacuation_Training_(7148956).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/7148956/1-214th-general-support-aviation-battalion-aerial-gunnery-qualification-and-medical-evacuation-training) | U.S. Army TSAE by Michele Wiencek | Public domain (U.S. Army / DVIDS) | UH-60M (12th CAB) | Straight front view, camera at standing height, on grass: windshield, wipers, upper wire cutter, pitot tubes, engine inlets, main landing gear, nose emblem; rotor turning slowly
exterior_front_02_nose_on_crew_on_rotorhead.jpg | https://commons.wikimedia.org/wiki/File:3rd_CAB,_3rd_ID_land_in_Belgium_for_Atlantic_Resolve_(5874645).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5874645/3rd-cab-3rd-id-land-belgium-atlantic-resolve) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60M (3rd CAB 2019, US Army) | Front view at standing height, parked on apron, rotor stopped: both cockpit doors open, crew standing at rotor head, windshield, wipers, wire cutters, pitot tubes, nose emblem, main gear
exterior_front_03_nose_on_distant_doors_open.jpg | https://commons.wikimedia.org/wiki/File:3rd_CAB,_3rd_ID_land_in_Belgium_for_Atlantic_Resolve_(5874644).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5874644/3rd-cab-3rd-id-land-belgium-atlantic-resolve) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60M (3rd CAB 2019, US Army) | Straight front view from distance at standing height, parked, rotor stopped, both cockpit doors open: overall width, engine inlets, stabilator ends, main gear track
exterior_front_04_nose_on_esss_tanks.jpg | https://commons.wikimedia.org/wiki/File:US_Army_Black_Hawks_make_flying_visit_to_RAF_Mildenhall_(7691867).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/7691867/us-army-black-hawks-make-flying-visit-raf-mildenhall) | U.S. Air Force photo by Karen Abeyasekere | Public domain | UH-60M (US Army, swept tips; ESSS stub wings with external tanks fitted) | Straight front at very low camera, parked, rotor stopped, cockpit doors open; NOTE optional ESSS pylons/tanks fitted; overall width/rotor span reference
exterior_inflight_01_34_front_slightly_above.jpg | https://commons.wikimedia.org/wiki/File:U.S._Army_UH-60M_Black_Hawk_helicopters_assigned_to_the_1st_Battalion,_10th_Aviation_Regiment,_10th_Combat_Aviation_Brigade_participate_in_a_personnel_movement_mission_Nov._11,_2013,_over_Logar_province_131111-A-MH207-656.jpg | CPT Peter Smedberg | Public domain | UH-60M (US Army 10th CAB) | In flight, right side / front-right 3/4 from slightly above (air-to-air), two aircraft; engine deck, HIRSS, rotor, doors
exterior_rear34_01_right_rear_roca908.jpg | https://commons.wikimedia.org/wiki/File:ROCA_UH-60M_908_Display_at_Zuoying_Naval_Base_Ground_Rear_Right_View_20151024.jpg | 玄史生 | CC0 | UH-60M (ROC Army 908; foreign markings) | Right rear 3/4 from standing height, static display, rotor stopped: tail rotor side of pylon, stabilator, tail wheel, boom, right cabin door
exterior_rear34_02_left_rear_low_boom.jpg | https://commons.wikimedia.org/wiki/File:US_Army_Black_Hawks_make_flying_visit_to_RAF_Mildenhall_(7691865).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/7691865/us-army-black-hawks-make-flying-visit-raf-mildenhall) | U.S. Air Force photo by Karen Abeyasekere | Public domain | UH-60 (US Army, RAF Mildenhall 2023) | Left rear 3/4 from very low under the boom: 'UNITED STATES ARMY' lettering, boom underside, tail wheel/strut, pylon + tail rotor, stabilator, HIRSS/aft window area
exterior_side_left_01_hh60m_taxi.jpg | https://commons.wikimedia.org/wiki/File:Sikorsky_HH-60M_13-20612_FDK_MD6.jpg | Acroterion | CC BY-SA 4.0 | HH-60M (medevac UH-60M: extra hoist/FLIR/red crosses) | Left side near-profile, taxiing (rotor turning), long lens low camera; boom 'UNITED STATES ARMY', HIRSS, tail pylon/stabilator
exterior_side_right_01_hover_doors_open.jpg | https://commons.wikimedia.org/wiki/File:Jumping_from_a_perfectly_good_helicopter,_Multinational_foreign_Jump_Wings_event_150707-A-FJ979-0015.jpg (image fetched from DVIDS: https://www.dvidshub.net/image/2048253/jumping-perfectly-good-helicopter-multinational-foreign-jump-wings-event) | Sgt. James Avery | Public domain | UH-60M | Right side profile, hovering low, cabin door open with paratroopers seated; camera near ground level, rotor turning
exterior_side_right_02_ground_door_open.jpg | https://commons.wikimedia.org/wiki/File:45th_STB_troops_build_leadership,_teamwork_in_Warrior_Week_competition_141201-A-CD129-733.jpg (image fetched from DVIDS: https://www.dvidshub.net/image/1695177/45th-stb-troops-build-leadership-teamwork-warrior-week-competition) | Staff Sgt. Taresha Hill | Public domain | UH-60M | Right side (slightly front 3/4) on ground, cabin door open, troops dismounting; low camera, rotor turning
exterior_side_right_03_hkp16_profile.jpg | https://commons.wikimedia.org/wiki/File:Sikorsky_S-70_Blackhawk_(Hkp-16A)_161229_04_(8364671659).jpg | Alan Wilson | CC BY-SA 2.0 | UH-60M (Swedish Hkp 16A) | Right side profile (slightly from front), parked on apron, rotor stopped, doors closed; full length incl. tail pylon, stabilator, tail wheel; long lens, low camera
exterior_side_right_04_parked_door_open_us_army.jpg | https://commons.wikimedia.org/wiki/File:3rd_CAB,_3rd_ID_land_in_Belgium_for_Atlantic_Resolve_(5874688).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5874688/3rd-cab-3rd-id-land-belgium-atlantic-resolve) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60M (3rd CAB 2019, US Army) | Right side, slightly rear 3/4, parked, rotor stopped, cabin door open (crew inside), 'UNITED STATES ARMY' on boom, HIRSS, tail pylon + stabilator; low/standing camera
exterior_top_01_inflight_from_above_logar.jpg | https://commons.wikimedia.org/wiki/File:U.S._Army_UH-60M_Black_Hawk_helicopters_assigned_to_the_1st_Battalion,_10th_Aviation_Regiment,_10th_Combat_Aviation_Brigade_participate_in_a_personnel_movement_mission_Nov._11,_2013,_over_Logar_province_131111-A-MH207-301.jpg | CPT Peter Smedberg | Public domain | UH-60M (US Army 10th CAB) | In flight photographed from another aircraft, well above: upper surfaces, rotor disc, engine deck, stabilator from above; left rear-ish 3/4; mountains
exterior_top_02_inflight_above_rear_left.jpg | https://commons.wikimedia.org/wiki/File:UH-60M_of_25th_Combat_Aviation_Brigade_near_Hawaii_in_2014_(cropped).JPG | U.S. Navy photo by Chief Mass Communication Specialist John M. Hageman | Public domain | UH-60M (US Army 25th CAB) | In flight from above (air-to-air), rear-left 3/4: top of cabin/engine cowls, tail boom, stabilator, tail rotor; over coastline
markings_01_tail_pylon_serial_20387.jpg | https://commons.wikimedia.org/wiki/File:3rd_CAB,_3rd_ID_land_in_Belgium_for_Atlantic_Resolve_(5874661).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5874661/3rd-cab-3rd-id-land-belgium-atlantic-resolve) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60M | Tail pylon from below (left side): serial '20387' and DANGER stencil, tail rotor gearbox fairing and tail rotor blades, crewman for scale; low camera
markings_02_tail_boom_united_states_army.jpg | https://commons.wikimedia.org/wiki/File:Night_Air_Assault_preparations_(9232145).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/9232145/night-air-assault-preparations) | U.S. Army National Guard photo by Sgt. Alex Lopez | Public domain | UH-60 (1st AD CAB 2025, UH-60M unit) | Left side aft cabin/tail boom: 'UNITED STATES ARMY' boom lettering, tail rotor driveshaft cover, pylon, stabilator, antennas, window; low camera
markings_03_us_army_letters_closeup.jpg | https://commons.wikimedia.org/wiki/File:1st_Infantry_Division_Soldiers_conduct_aerial_gunnery_qualification_(9826662).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/9826662/1st-infantry-division-soldiers-conduct-aerial-gunnery-qualification) | U.S. Army photo by Sgt. Aaron Kaczur | Public domain | UH-60 (1st CAB 1ID 2025, UH-60M unit) | Close-up of large 'U.S. ARMY' letters on the tail boom and the tail rotor driveshaft cover being opened; pylon behind
markings_04_tail_boom_left_united_states_army.jpg | https://commons.wikimedia.org/wiki/File:3rd_CAB,_3rd_ID_land_in_Belgium_for_Atlantic_Resolve_(5874657).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5874657/3rd-cab-3rd-id-land-belgium-atlantic-resolve) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60M (3rd CAB 2019, US Army) | Left side aft fuselage/tail boom, low wide-angle: 'UNITED STATES ARMY' lettering, aft cabin window/antennas, tail pylon with tail rotor, tail wheel, stabilator; crew for scale
nose_details_01_front_left_wet_kfor.jpg | https://commons.wikimedia.org/wiki/File:Soldiers_conduct_maintenance_to_keep_birds_in_the_sky_(5939411).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5939411/soldiers-conduct-maintenance-keep-birds-sky) | U.S. Army 340PAD by Spc. Lynnwood Thomas | Public domain | UH-60 (KFOR Task Force Aviation 2019) | Front-left 3/4 low: nose, windshield + wipers, wire strike cutters, chin windows, pitot tubes, cockpit door, 'KFOR' marking, rotor head with crew on top
nose_details_02_front_right_nose_closeup.jpg | https://commons.wikimedia.org/wiki/File:3rd_CAB,_3rd_ID_land_in_Belgium_for_Atlantic_Resolve_(5874689).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5874689/3rd-cab-3rd-id-land-belgium-atlantic-resolve) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60M (3rd CAB 2019, US Army) | Close front-right 3/4 of the nose: windshield, cockpit door window, chin window, pitot tube, lower wire strike cutter, nose gear/main gear, tie-down straps; low camera
nose_details_03_nose_head_on_closeup.jpg | https://commons.wikimedia.org/wiki/File:3rd_CAB,_3rd_ID_land_in_Belgium_for_Atlantic_Resolve_(5874654).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5874654/3rd-cab-3rd-id-land-belgium-atlantic-resolve) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60M (3rd CAB 2019, US Army) | Nose head-on close-up, wide angle, camera at nose height: windshield (3 panes) + wipers, upper wire cutter, nose vent, pitot/lights, 3rd ID emblem, rotor head above; blades folded/tied
nose_details_04_left_door_open_windshield.jpg | https://commons.wikimedia.org/wiki/File:3rd_CAB,_3rd_ID_land_in_Belgium_for_Atlantic_Resolve_(5874692).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5874692/3rd-cab-3rd-id-land-belgium-atlantic-resolve) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60M (3rd CAB 2019, US Army) | Front-left close: left cockpit door open (window, 'X' marking), windshield + wipers, overhead/upper cowl, wire cutter, chin window; low camera
overhead_console_01_cockpit_from_cabin_both_seats.jpg | https://commons.wikimedia.org/wiki/File:2-3_GSAB_Participates_in_Flyover_During_Restoration_of_Latvian_Independence_Day_(7778688).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/7778688/2-3-gsab-participates-flyover-during-restoration-latvian-independence-day) | U.S. Army National Guard photo by Staff Sgt. Agustin Montanez | Public domain | UH-60M (2-3 GSAB, US Army) | From the cabin looking forward between the armored seat backs: overhead console from behind, both crew, full glass panel with 4 MFDs lit, center console, cyclics, windshield; eye level
rotorhead_01_crew_on_upper_deck_hangar.jpg | https://commons.wikimedia.org/wiki/File:Keeping_rotor_blades_turning_over_Logar_province_DVIDS534096.jpg (image fetched from DVIDS: https://www.dvidshub.net/image/534096/keeping-rotor-blades-turning-over-logar-province) | Sgt. 1st Class Eric Pahon | Public domain | UH-60M | Main rotor head from front-left, slightly above, crew standing on the upper deck/transmission fairing: hub, bifilar, blade cuffs, pitch links; engine inlets, cockpit roof/windshield
rotorhead_02_hub_mast_left_front_cowls_open.jpg | https://commons.wikimedia.org/wiki/File:1st_Combat_Aviation_Brigade-1st_Infantry_Division_Atlantic_Resolve_(5104792).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5104792/1st-combat-aviation-brigade-1st-infantry-division-atlantic-resolve) | U.S. Army photo by Pascal Demeuldre | Public domain | UH-60 (1st CAB 1ID 2018, UH-60M-era unit; M not confirmed) | Main rotor head from left-front at deck level: hub, bifilar absorber, blade cuffs/dampers, mast, left engine inlet (red cover) and open engine cowls/transmission area; tail pylon in background
rotorhead_03_hub_swashplate_left_side.jpg | https://commons.wikimedia.org/wiki/File:Balikatan_2026-_Task_Force_Saber_conducts_UH-60_Black_Hawk_40-hour_inspection_(9657358).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/9657358/balikatan-2026-task-force-saber-conducts-uh-60-black-hawk-40-hour-inspection) | U.S. Army photo by Sgt. Olivia Cowart | Public domain | UH-60 (25th CAB 2026, UH-60M unit) | Rotor head and main rotor shaft from left side: swashplate, pitch links, dampers, blade folded/tied down; engine cowls/work platforms open, crew on deck; eye level at deck
rotorhead_04_hub_side_crew_on_deck.jpg | https://commons.wikimedia.org/wiki/File:Balikatan_2026-_Task_Force_Saber_conducts_UH-60_Black_Hawk_40-hour_inspection_(9657364).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/9657364/balikatan-2026-task-force-saber-conducts-uh-60-black-hawk-40-hour-inspection) | U.S. Army photo by Sgt. Olivia Cowart | Public domain | UH-60 (25th CAB 2026, UH-60M unit) | Rotor head from the left side with crew on the upper deck; hub, swashplate, pitch links, upper fairing and open engine cowl
rotorhead_05_spindle_damper_closeup.jpg | https://commons.wikimedia.org/wiki/File:Balikatan_2026-_Task_Force_Saber_conducts_UH-60_Black_Hawk_40-hour_inspection_(9657359).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/9657359/balikatan-2026-task-force-saber-conducts-uh-60-black-hawk-40-hour-inspection) | U.S. Army photo by Sgt. Olivia Cowart | Public domain | UH-60 (25th CAB 2026, UH-60M unit) | Close-up under/at the hub: blade spindle/cuff with lead-lag damper and hydraulic lines, bolts, fittings
rotorhead_06_hub_from_above_blade_fold.jpg | https://commons.wikimedia.org/wiki/File:RS24-_1st_Battalion_-_150th_Aviation_Regiment_prepares_UH-60M_Black_Hawk_for_operations_(8447078).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/8447078/rs24-1st-battalion-150th-aviation-regiment-prepares-uh-60m-black-hawk-operations) | U.S. Air Force photo by Airman 1st Class Rachel Coates | Public domain | UH-60M (1-150th Avn, NJ ARNG) | Main rotor hub seen from above on the upper deck: hub plates, elastomeric bearings, blade fold hardware (red), lead-lag dampers, spindles/blade cuffs, swashplate/shaft below; crew for scale
rotorhead_07_blade_cuff_damper_from_below.jpg | https://commons.wikimedia.org/wiki/File:2-3_GSAB_Participates_in_Flyover_During_Restoration_of_Latvian_Independence_Day_(7778670).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/7778670/2-3-gsab-participates-flyover-during-restoration-latvian-independence-day) | U.S. Army National Guard photo by Staff Sgt. Agustin Montanez | Public domain | UH-60M (2-3 GSAB, US Army) | Looking up from the cabin roof at one blade root: spindle/cuff, lead-lag damper, pitch horn/link, blade underside (wide chord), fuselage roof in foreground
seats_controls_01_left_pilot_seat_door_view.jpg | https://commons.wikimedia.org/wiki/File:DEFENDER-Europe_21-_UH-60_Blackhawks_land_in_downtown_Tirana,_Albania_(6658271).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/6658271/defender-europe-21-uh-60-blackhawks-land-downtown-tirana-albania) | U.S. Army 131MPAD by Sgt. Jaccob Hearn | Public domain | UH-60M | View through open left cockpit door: pilot seat with side armor/XO handle, collective, left MFDs and center console, overhead console, windshield frame
seats_controls_02_right_seat_side_armor.jpg | https://commons.wikimedia.org/wiki/File:12_CAB_folds_Black_Hawks_for_transport_to_Norway_(7178517).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/7178517/12-cab-folds-black-hawks-transport-norway) | U.S. Army photo by Staff Sgt. Thomas Mort | Public domain | UH-60M | Right (pilot-in-command) seat from open right door: armored seat back with side armor panel ('NO HANDLE'), seat belts, panel edge, overhead console corner
seats_controls_03_left_seat_door_portrait.jpg | https://commons.wikimedia.org/wiki/File:Views_of_UH-60_Black_Hawk_with_SHAPE_helicopter_flight_detachment_150205-A-RX599-039.jpg (image fetched from DVIDS: https://www.dvidshub.net/image/1763289/views-uh-60-black-hawk-with-shape-helicopter-flight-detachment) | Pascal Demeuldre | Public domain | UH-60L (SHAPE detachment; analog panel - seat/armor same as M) | Portrait through left cockpit door: armored seat with 'XO HANDLE' side armor, collective, center console, analog instrument panel (NOT M); for seat/door frame shape
tailrotor_01_tail_rotor_hub_closeup.jpg | https://commons.wikimedia.org/wiki/File:Aviation_mechanics_ensure_KFOR_helicopters_keep_flying_(7782701).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/7782701/aviation-mechanics-ensure-kfor-helicopters-keep-flying) | Staff Sgt. Anna Pongo | Public domain | UH-60 (KFOR 1-131st Avn, variant not stated) | Close-up of tail rotor hub/pitch-change hardware at top of tail pylon (red anti-collision light), mechanic for scale; per caption: tail rotor maintenance
tailrotor_02_pylon_rear_left_stabilator.jpg | https://commons.wikimedia.org/wiki/File:3rd_CAB,_3rd_ID_land_in_Belgium_for_Atlantic_Resolve_(5874667).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5874667/3rd-cab-3rd-id-land-belgium-atlantic-resolve) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60M | Tail pylon from rear-left, low: tail rotor, pylon fin with '387', stabilator, tail wheel, crew handling tail rotor blade
tailrotor_03_gearbox_fairing_beacon_closeup.jpg | https://commons.wikimedia.org/wiki/File:3rd_Combat_Aviation_Brigade_Makes_History_in_the_Port_of_Riga_(7781726).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/7781726/3rd-combat-aviation-brigade-makes-history-port-riga) | U.S. Army photo by Spc. William Thompson | Public domain | UH-60 (3rd CAB 2023, UH-60M unit) | Close-up of tail rotor gearbox fairing (top of pylon) with tail rotor blades, pitch hardware and red anti-collision beacon; from left/below
tailrotor_04_four_blade_right_side_serial.jpg | https://commons.wikimedia.org/wiki/File:Cold_Weather_Flight_at_North_Wind_26_(9491754).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/9491754/cold-weather-flight-north-wind-26) | U.S. Army USARJ by Sgt. John Russell | Public domain | UH-60L (serial 0-26702; tail rotor identical to M) | Tail rotor seen from the right side: 4-blade crossbeam rotor, hub, pylon with serial '0-26702' and DANGER stencil; low camera
tailrotor_05_stabilator_pylon_from_rear.jpg | https://commons.wikimedia.org/wiki/File:1CAB_1ID_Atlantic_Resolve_Rotation_(5079990).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5079990/1cab-1id-atlantic-resolve-rotation) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60 (1st CAB 1ID 2017; serial ..20094 = UH-60M block, not confirmed) | From behind/under the left stabilator: stabilator planform + hinge, tail pylon with serial '20094' and DANGER KEEP AWAY stencil, tail rotor gearbox, engine deck/HIRSS in background; very low camera
